locus_tag	gene	product	go_terms
EQU24_RS00455	tatA	twin-arginine translocase TatA/TatE family subunit	['GO:0006810', 'GO:0015399', 'GO:0005215', 'GO:0051179', 'GO:0034613', 'GO:0042886', 'GO:0009987', 'GO:0044459', 'GO:0008565', 'GO:0005886', 'GO:0022804', 'GO:0005887', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0046907', 'GO:0015450', 'GO:0022857', 'GO:0016021', 'GO:0051641', 'GO:0006886', 'GO:0042887', 'GO:0005488', 'GO:0009306', 'GO:0008104', 'GO:0045184', 'GO:0098797', 'GO:0033281', 'GO:0070727', 'GO:0005515', 'GO:0031226', 'GO:0044444', 'GO:0008150', 'GO:0015031', 'GO:0032991', 'GO:0003674', 'GO:0008320', 'GO:0005737', 'GO:0065002', 'GO:0005622', 'GO:0044424', 'GO:0044425', 'GO:0042802', 'GO:0015405', 'GO:1904680', 'GO:0022884', 'GO:0015291', 'GO:0005829', 'GO:0071705', 'GO:0071806', 'GO:0005623', 'GO:0071702', 'GO:0098796', 'GO:0051649', 'GO:0071944', 'GO:0009977', 'GO:0043953', 'GO:0002790', 'GO:0015833', 'GO:0031224', 'GO:0055085', 'GO:0051234', 'GO:0046903', 'GO:0032940', 'GO:0005575']
EQU24_RS00460	tatB	twin-arginine translocase subunit TatB	['GO:0006810', 'GO:0008320', 'GO:0015399', 'GO:0065002', 'GO:0005215', 'GO:0051179', 'GO:0034613', 'GO:0044425', 'GO:0042802', 'GO:0015405', 'GO:0042886', 'GO:1904680', 'GO:0044459', 'GO:0008565', 'GO:0005886', 'GO:0015291', 'GO:0022804', 'GO:0005887', 'GO:0022884', 'GO:0071705', 'GO:0071806', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0005623', 'GO:0071702', 'GO:0098796', 'GO:0051649', 'GO:0046907', 'GO:0071944', 'GO:0015450', 'GO:0022857', 'GO:0016021', 'GO:0051641', 'GO:0006886', 'GO:0009977', 'GO:0042887', 'GO:0043953', 'GO:0005488', 'GO:0015833', 'GO:0031224', 'GO:0008104', 'GO:0045184', 'GO:0051234', 'GO:0055085', 'GO:0098797', 'GO:0033281', 'GO:0070727', 'GO:0005515', 'GO:0005575', 'GO:0031226', 'GO:0008150', 'GO:0015031', 'GO:0032991', 'GO:0003674']
EQU24_RS00465	tatC	twin-arginine translocase subunit TatC	['GO:0006810', 'GO:0008320', 'GO:0015399', 'GO:0065002', 'GO:0005215', 'GO:0051179', 'GO:0034613', 'GO:0044425', 'GO:0009314', 'GO:0050896', 'GO:0042802', 'GO:0015405', 'GO:0042886', 'GO:1904680', 'GO:0044459', 'GO:0008565', 'GO:0005886', 'GO:0015291', 'GO:0022804', 'GO:0005887', 'GO:0022884', 'GO:0071705', 'GO:0071806', 'GO:0016020', 'GO:0033036', 'GO:0044464', 'GO:0005623', 'GO:0071702', 'GO:0098796', 'GO:0051649', 'GO:0046907', 'GO:0071944', 'GO:0015450', 'GO:0022857', 'GO:0016021', 'GO:0051641', 'GO:0006886', 'GO:0009977', 'GO:0042887', 'GO:0043953', 'GO:0005488', 'GO:0015833', 'GO:0031224', 'GO:0008104', 'GO:0045184', 'GO:0051234', 'GO:0055085', 'GO:0098797', 'GO:0033281', 'GO:0070727', 'GO:0005515', 'GO:0005575', 'GO:0009628', 'GO:0031226', 'GO:0008150', 'GO:0015031', 'GO:0032991', 'GO:0003674']
EQU24_RS00470		GDSL family lipase	[]
EQU24_RS00475		pteridine reductase	[]
EQU24_RS00480		hypothetical protein	['GO:0005840', 'GO:0006468', 'GO:0016301', 'GO:0016310', 'GO:0016740', 'GO:0004674']
EQU24_RS00485	folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	['GO:0016301', 'GO:0003848', 'GO:0016310', 'GO:0009396']
EQU24_RS00490	folB	dihydroneopterin aldolase	['GO:0046654', 'GO:0046656', 'GO:0016829', 'GO:0005515', 'GO:0016830', 'GO:0016832', 'GO:0003824', 'GO:0005488', 'GO:0004150', 'GO:0042802', 'GO:0003674']
EQU24_RS00495	plsY	glycerol-3-phosphate 1-O-acyltransferase PlsY	['GO:0071944', 'GO:0008654', 'GO:0005886', 'GO:0005575', 'GO:0016021', 'GO:0043772', 'GO:0016020', 'GO:0044464', 'GO:0005623']
EQU24_RS00500	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	['GO:0140032', 'GO:0002949', 'GO:0004175', 'GO:0006725', 'GO:0008152', 'GO:0006400', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0000287', 'GO:0044238', 'GO:0044464', 'GO:0090304', 'GO:0000408', 'GO:0046914', 'GO:0043412', 'GO:0006396', 'GO:0140096', 'GO:0005488', 'GO:0070011', 'GO:1901564', 'GO:0010467', 'GO:0005515', 'GO:0009451', 'GO:0016070', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0046483', 'GO:0032991', 'GO:0003674', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0008237', 'GO:0006807', 'GO:0034470', 'GO:0043169', 'GO:0044424', 'GO:0046872', 'GO:0070525', 'GO:0042802', 'GO:0034660', 'GO:0006508', 'GO:0008233', 'GO:0005829', 'GO:0034641', 'GO:0016787', 'GO:0005506', 'GO:0005623', 'GO:0061711', 'GO:0008033', 'GO:0140030', 'GO:0003824', 'GO:0006139', 'GO:0005575', 'GO:0044237', 'GO:0004222', 'GO:0071704', 'GO:0019538']
EQU24_RS00505	rpsU	30S ribosomal protein S21	['GO:0006518', 'GO:0006996', 'GO:0022626', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0022627', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0043933', 'GO:0070925', 'GO:0034622', 'GO:0005198', 'GO:0071840', 'GO:0043604', 'GO:1901564', 'GO:0010467', 'GO:0043603', 'GO:0043043', 'GO:0043226', 'GO:0022613', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0042254', 'GO:0032991', 'GO:0003674', 'GO:0003735', 'GO:0000028', 'GO:0022607', 'GO:0044391', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0042274', 'GO:0034645', 'GO:0015935', 'GO:0005829', 'GO:0009058', 'GO:0022618', 'GO:0034641', 'GO:1990904', 'GO:0005623', 'GO:0044446', 'GO:0044445', 'GO:0009059', 'GO:1901576', 'GO:0006412', 'GO:0071826', 'GO:0043232', 'GO:0065003', 'GO:0044422', 'GO:0042255', 'GO:0044085', 'GO:0005840', 'GO:0005575', 'GO:0043228', 'GO:0044237', 'GO:0043229', 'GO:0071704', 'GO:0044249', 'GO:0016043', 'GO:0019538']
EQU24_RS00510		GatB/YqeY domain-containing protein	['GO:0016740', 'GO:0016884']
EQU24_RS00515		DNA primase	['GO:0005737', 'GO:0034062', 'GO:0005622', 'GO:0046872', 'GO:0006807', 'GO:0043169', 'GO:0016772', 'GO:0044260', 'GO:0044424', 'GO:0003899', 'GO:0003677', 'GO:0097747', 'GO:1901362', 'GO:0006725', 'GO:0034645', 'GO:0003896', 'GO:0008152', 'GO:0018130', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0009058', 'GO:0034641', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0006259', 'GO:0005623', 'GO:1990077', 'GO:0090304', 'GO:0016779', 'GO:0006260', 'GO:0046914', 'GO:0009059', 'GO:1901576', 'GO:0008270', 'GO:0006261', 'GO:0019438', 'GO:0005488', 'GO:0003824', 'GO:0008150', 'GO:0006139', 'GO:0006269', 'GO:0032774', 'GO:0016070', 'GO:0005575', 'GO:0034654', 'GO:0140098', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS00520	rpoD	RNA polymerase sigma factor RpoD	['GO:0006351', 'GO:1903506', 'GO:2000112', 'GO:2000142', 'GO:0003677', 'GO:0010468', 'GO:0006725', 'GO:0080090', 'GO:0008152', 'GO:2001141', 'GO:0009987', 'GO:0043170', 'GO:0016987', 'GO:0009408', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0050789', 'GO:0006352', 'GO:0090304', 'GO:0140110', 'GO:0051252', 'GO:0019438', 'GO:0051128', 'GO:0051171', 'GO:0043254', 'GO:0010467', 'GO:0019219', 'GO:0006355', 'GO:0032774', 'GO:0016070', 'GO:0031326', 'GO:0034654', 'GO:1901360', 'GO:0060255', 'GO:0044444', 'GO:0008150', 'GO:0050794', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0005622', 'GO:0010556', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0097659', 'GO:1901362', 'GO:0000990', 'GO:0003700', 'GO:0050896', 'GO:0034645', 'GO:0018130', 'GO:0065007', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:0006950', 'GO:0031323', 'GO:0009889', 'GO:0009059', 'GO:1901576', 'GO:0009266', 'GO:0000988', 'GO:0006139', 'GO:0001123', 'GO:0005575', 'GO:0019222', 'GO:0044237', 'GO:0009628', 'GO:0044087', 'GO:0071704', 'GO:0044249']
EQU24_RS00525			[]
EQU24_RS00530		methionine adenosyltransferase	['GO:0000166', 'GO:0006556', 'GO:0006520', 'GO:0006732', 'GO:0046500', 'GO:0009066', 'GO:0008144', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0006575', 'GO:0043167', 'GO:0006790', 'GO:0000096', 'GO:0017144', 'GO:0000287', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0043436', 'GO:0046128', 'GO:0033353', 'GO:0046498', 'GO:0009069', 'GO:0097159', 'GO:0051186', 'GO:0044272', 'GO:0005488', 'GO:0019752', 'GO:0004478', 'GO:1901564', 'GO:0097367', 'GO:0035639', 'GO:0005515', 'GO:0006555', 'GO:1901363', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0006534', 'GO:0009116', 'GO:0032559', 'GO:0046483', 'GO:0003674', 'GO:0042278', 'GO:0009108', 'GO:0005737', 'GO:0046439', 'GO:0046872', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0043168', 'GO:0043169', 'GO:1901657', 'GO:0042802', 'GO:0009119', 'GO:0030955', 'GO:0051188', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:1901135', 'GO:0006730', 'GO:0016740', 'GO:0005623', 'GO:0072521', 'GO:0032553', 'GO:0036094', 'GO:0030554', 'GO:1901576', 'GO:0055086', 'GO:0003824', 'GO:0006139', 'GO:1901605', 'GO:0006082', 'GO:0005575', 'GO:1901265', 'GO:0031420', 'GO:0032555', 'GO:0044281', 'GO:0044237', 'GO:0017076', 'GO:0071704', 'GO:0044249', 'GO:0016765']
EQU24_RS00535		adenosylhomocysteinase	['GO:0006520', 'GO:0006732', 'GO:0019899', 'GO:0019510', 'GO:0019439', 'GO:0046085', 'GO:0046500', 'GO:0009066', 'GO:0034655', 'GO:0009087', 'GO:0009605', 'GO:0008152', 'GO:0046130', 'GO:0044406', 'GO:0009987', 'GO:0051287', 'GO:0005886', 'GO:0000096', 'GO:0042219', 'GO:0044238', 'GO:0044464', 'GO:0044650', 'GO:0044403', 'GO:0044419', 'GO:0002376', 'GO:0046395', 'GO:0006952', 'GO:0030312', 'GO:0044272', 'GO:0019752', 'GO:0006152', 'GO:1901564', 'GO:0005634', 'GO:0030260', 'GO:0005515', 'GO:0043226', 'GO:0007610', 'GO:0051806', 'GO:1901360', 'GO:0070403', 'GO:0044444', 'GO:0048037', 'GO:0008652', 'GO:0006534', 'GO:0072523', 'GO:0046483', 'GO:0003674', 'GO:0042278', 'GO:0005618', 'GO:0005737', 'GO:0046439', 'GO:0044424', 'GO:0035375', 'GO:1901606', 'GO:0000098', 'GO:0051701', 'GO:0035635', 'GO:0042802', 'GO:0098604', 'GO:0009119', 'GO:0048511', 'GO:0097458', 'GO:0009058', 'GO:0040007', 'GO:0043005', 'GO:0044273', 'GO:0016054', 'GO:0044248', 'GO:0009063', 'GO:0071944', 'GO:0072521', 'GO:0036094', 'GO:0044282', 'GO:0005576', 'GO:1901576', 'GO:0050667', 'GO:0009991', 'GO:0055086', 'GO:1901607', 'GO:0044283', 'GO:0043227', 'GO:0003824', 'GO:0006139', 'GO:0034656', 'GO:0005575', 'GO:1901265', 'GO:0044270', 'GO:0017076', 'GO:0050662', 'GO:0002544', 'GO:0071704', 'GO:0044249', 'GO:0000166', 'GO:0001666', 'GO:0006954', 'GO:0042454', 'GO:0009056', 'GO:0002437', 'GO:0046394', 'GO:1901136', 'GO:0042745', 'GO:0006725', 'GO:0004013', 'GO:0007584', 'GO:0006575', 'GO:0002439', 'GO:0043167', 'GO:0006790', 'GO:0017144', 'GO:1901566', 'GO:0009164', 'GO:0016020', 'GO:0043436', 'GO:0046128', 'GO:0016053', 'GO:0036293', 'GO:0071268', 'GO:0042995', 'GO:0033353', 'GO:0046498', 'GO:0009069', 'GO:0043231', 'GO:0097159', 'GO:0051186', 'GO:0005488', 'GO:0051704', 'GO:0006555', 'GO:1901363', 'GO:1901361', 'GO:0120025', 'GO:0008150', 'GO:0009116', 'GO:0007623', 'GO:0005622', 'GO:0006807', 'GO:0043168', 'GO:0031667', 'GO:0046700', 'GO:0050896', 'GO:0006955', 'GO:1901657', 'GO:0022610', 'GO:0042221', 'GO:0005829', 'GO:0034641', 'GO:0016787', 'GO:1901135', 'GO:0006730', 'GO:0005623', 'GO:0070482', 'GO:0051828', 'GO:0048512', 'GO:0051187', 'GO:0006950', 'GO:0016802', 'GO:0030554', 'GO:0016801', 'GO:1901575', 'GO:0000097', 'GO:1901605', 'GO:0006082', 'GO:0044409', 'GO:0044281', 'GO:0009068', 'GO:0044237', 'GO:0009628', 'GO:0043229', 'GO:0007622', 'GO:1901658', 'GO:1901565']
EQU24_RS00540	metF	methylenetetrahydrofolate reductase [NAD(P)H]	['GO:0000166', 'GO:0006732', 'GO:0051262', 'GO:0042398', 'GO:0046394', 'GO:0006725', 'GO:0008152', 'GO:0016645', 'GO:0009987', 'GO:0016646', 'GO:0006575', 'GO:0043167', 'GO:1901566', 'GO:0044271', 'GO:0044464', 'GO:0043436', 'GO:0043933', 'GO:0016053', 'GO:0071840', 'GO:0097159', 'GO:0006760', 'GO:0043604', 'GO:0051186', 'GO:0019438', 'GO:0051259', 'GO:0005488', 'GO:0019752', 'GO:0051289', 'GO:0046654', 'GO:1901564', 'GO:0043603', 'GO:0042558', 'GO:1901363', 'GO:1901360', 'GO:0048037', 'GO:0044444', 'GO:0008150', 'GO:0046483', 'GO:0071949', 'GO:0003674', 'GO:0009396', 'GO:0009108', 'GO:0022607', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0043168', 'GO:0042559', 'GO:0035999', 'GO:1901362', 'GO:0016491', 'GO:0018130', 'GO:0009086', 'GO:0051188', 'GO:0005829', 'GO:0051260', 'GO:0009058', 'GO:0034641', 'GO:0006730', 'GO:0005623', 'GO:0046653', 'GO:0050660', 'GO:0036094', 'GO:1901576', 'GO:0004489', 'GO:0065003', 'GO:0044283', 'GO:0003824', 'GO:0055114', 'GO:0044085', 'GO:0006082', 'GO:0005575', 'GO:1901265', 'GO:0044281', 'GO:0044237', 'GO:0050662', 'GO:0071704', 'GO:0044249', 'GO:0016043']
EQU24_RS00545		16S rRNA (uracil(1498)-N(3))-methyltransferase	['GO:0031167', 'GO:0070042', 'GO:0005737', 'GO:0008757', 'GO:0034470', 'GO:0008170', 'GO:0006807', 'GO:0044260', 'GO:0008173', 'GO:0043414', 'GO:0008649', 'GO:0008168', 'GO:0006725', 'GO:0001510', 'GO:0008152', 'GO:0034660', 'GO:0009987', 'GO:0043170', 'GO:0016072', 'GO:0034641', 'GO:0044238', 'GO:0000154', 'GO:0016740', 'GO:0090304', 'GO:0071840', 'GO:0043412', 'GO:0016436', 'GO:0006396', 'GO:0003824', 'GO:0044085', 'GO:0006139', 'GO:0006364', 'GO:0010467', 'GO:0016741', 'GO:0009451', 'GO:0016070', 'GO:0140098', 'GO:0032259', 'GO:0044237', 'GO:0022613', 'GO:1901360', 'GO:0140102', 'GO:0071704', 'GO:0008150', 'GO:0070475', 'GO:0042254', 'GO:0046483', 'GO:0003674']
EQU24_RS00550		CPBP family intramembrane metalloprotease	['GO:0004197', 'GO:0071586', 'GO:0016021', 'GO:0008237']
EQU24_RS00555		YajQ family cyclic di-GMP-binding protein	['GO:0000166', 'GO:0005737', 'GO:0005622', 'GO:0043168', 'GO:0044424', 'GO:0033554', 'GO:0008144', 'GO:0050896', 'GO:0006974', 'GO:0009987', 'GO:0003676', 'GO:0043167', 'GO:0005829', 'GO:0005524', 'GO:0044464', 'GO:0005623', 'GO:0003723', 'GO:0032549', 'GO:0006950', 'GO:0032553', 'GO:0030554', 'GO:0036094', 'GO:0000049', 'GO:0097159', 'GO:0032561', 'GO:0005488', 'GO:0051716', 'GO:0097367', 'GO:0005525', 'GO:0032550', 'GO:0019001', 'GO:0001882', 'GO:0035639', 'GO:0005575', 'GO:0032555', 'GO:1901265', 'GO:1901363', 'GO:0017076', 'GO:0044444', 'GO:0008150', 'GO:0032559', 'GO:0001883', 'GO:0003674']
EQU24_RS00560		multifunctional CCA addition/repair protein	['GO:0001680', 'GO:0006399', 'GO:0034470', 'GO:0006807', 'GO:0016772', 'GO:0016791', 'GO:0006725', 'GO:0008152', 'GO:0034660', 'GO:0009987', 'GO:0043170', 'GO:0004112', 'GO:0016437', 'GO:0004652', 'GO:0000287', 'GO:0034641', 'GO:0044238', 'GO:0005524', 'GO:0016740', 'GO:0090304', 'GO:0016779', 'GO:0008033', 'GO:0004810', 'GO:0052929', 'GO:0000049', 'GO:0070566', 'GO:0006396', 'GO:0052927', 'GO:0003824', 'GO:0006139', 'GO:0052928', 'GO:0010467', 'GO:0042245', 'GO:1990817', 'GO:0016070', 'GO:0016311', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0008150', 'GO:0046483', 'GO:0003674']
EQU24_RS00565		TSUP family transporter	['GO:0005886', 'GO:0016021']
EQU24_RS00570	guaB	IMP dehydrogenase	['GO:0000166', 'GO:0034404', 'GO:0009206', 'GO:0006796', 'GO:0046129', 'GO:0009314', 'GO:0019637', 'GO:1901068', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0009165', 'GO:0009144', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0009152', 'GO:0044464', 'GO:0009411', 'GO:0046128', 'GO:0009205', 'GO:1901070', 'GO:0009201', 'GO:0006793', 'GO:0009199', 'GO:0019693', 'GO:0019438', 'GO:0005488', 'GO:1901564', 'GO:0009141', 'GO:0005515', 'GO:0034654', 'GO:0016616', 'GO:1901360', 'GO:0044444', 'GO:0046390', 'GO:0009142', 'GO:0072522', 'GO:0008150', 'GO:0009116', 'GO:0006753', 'GO:0046483', 'GO:0003674', 'GO:0042278', 'GO:0005737', 'GO:0046872', 'GO:0005622', 'GO:0006807', 'GO:0006163', 'GO:0044424', 'GO:0009150', 'GO:1901362', 'GO:0050896', 'GO:0042802', 'GO:1901657', 'GO:0009119', 'GO:0016491', 'GO:0018130', 'GO:0042455', 'GO:0009163', 'GO:0046039', 'GO:0009117', 'GO:0003938', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:1901293', 'GO:1901135', 'GO:0090407', 'GO:0005623', 'GO:0042451', 'GO:1901659', 'GO:0072521', 'GO:0006177', 'GO:1901576', 'GO:0009416', 'GO:0009259', 'GO:0006183', 'GO:0016614', 'GO:0055086', 'GO:0044283', 'GO:0003824', 'GO:0055114', 'GO:0006139', 'GO:0006164', 'GO:0009145', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0009628', 'GO:1901137', 'GO:0009260', 'GO:0071704', 'GO:0044249']
EQU24_RS00575	guaA	glutamine-hydrolyzing GMP synthase	['GO:0034404', 'GO:0009123', 'GO:0009167', 'GO:0003922', 'GO:0006796', 'GO:0046129', 'GO:1901068', 'GO:0019637', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0009165', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0009152', 'GO:0005524', 'GO:0009161', 'GO:0044464', 'GO:0046128', 'GO:0009127', 'GO:1901070', 'GO:0009168', 'GO:0009126', 'GO:0030312', 'GO:0016879', 'GO:0006793', 'GO:0019693', 'GO:0019438', 'GO:0005488', 'GO:1901564', 'GO:0005515', 'GO:0034654', 'GO:0016874', 'GO:1901360', 'GO:0044444', 'GO:0046390', 'GO:0072522', 'GO:0016462', 'GO:0008150', 'GO:0009116', 'GO:0006753', 'GO:0046483', 'GO:0003674', 'GO:0042278', 'GO:0005618', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0006163', 'GO:0044424', 'GO:0009150', 'GO:0016884', 'GO:1901362', 'GO:1901657', 'GO:0042802', 'GO:0009119', 'GO:0018130', 'GO:0042455', 'GO:0009163', 'GO:0009117', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0040007', 'GO:1901293', 'GO:1901135', 'GO:0016740', 'GO:0090407', 'GO:0005623', 'GO:0042451', 'GO:0046037', 'GO:1901659', 'GO:0009156', 'GO:0072521', 'GO:0071944', 'GO:0006177', 'GO:1901576', 'GO:0009259', 'GO:0055086', 'GO:0003921', 'GO:0044283', 'GO:0003824', 'GO:0006541', 'GO:0006139', 'GO:0006164', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:1901137', 'GO:0009260', 'GO:0071704', 'GO:0044249', 'GO:0009124']
EQU24_RS00580	tadA	tRNA adenosine(34) deaminase TadA	['GO:0052717', 'GO:0006399', 'GO:0034470', 'GO:0046872', 'GO:0006807', 'GO:0043169', 'GO:0004000', 'GO:0002100', 'GO:0006725', 'GO:0008152', 'GO:0034660', 'GO:0006400', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0006382', 'GO:0034641', 'GO:0016787', 'GO:0044238', 'GO:0090304', 'GO:0016553', 'GO:0046914', 'GO:0008033', 'GO:0008270', 'GO:0043412', 'GO:0006396', 'GO:0019239', 'GO:0005488', 'GO:0003824', 'GO:0016814', 'GO:0006139', 'GO:0010467', 'GO:0009451', 'GO:0016070', 'GO:0044237', 'GO:0008251', 'GO:1901360', 'GO:0002097', 'GO:0071704', 'GO:0008150', 'GO:0016810', 'GO:0046483', 'GO:0003674']
EQU24_RS00585		glucose-6-phosphate isomerase	['GO:0046034', 'GO:0009179', 'GO:0034404', 'GO:0046434', 'GO:0006732', 'GO:0019439', 'GO:0034655', 'GO:0006796', 'GO:0019637', 'GO:0008152', 'GO:0009987', 'GO:0009144', 'GO:0016052', 'GO:0044271', 'GO:0044238', 'GO:0009161', 'GO:0044464', 'GO:0009205', 'GO:0006754', 'GO:0006165', 'GO:0009199', 'GO:0019693', 'GO:0051716', 'GO:0019752', 'GO:0046939', 'GO:0006091', 'GO:1901564', 'GO:0005515', 'GO:0034654', 'GO:1901360', 'GO:0044444', 'GO:0046390', 'GO:0072524', 'GO:0046483', 'GO:0003674', 'GO:0009108', 'GO:0070887', 'GO:0005737', 'GO:0006163', 'GO:0044424', 'GO:0009150', 'GO:0006096', 'GO:0042802', 'GO:0018130', 'GO:0004347', 'GO:0009117', 'GO:0019363', 'GO:0009058', 'GO:1901293', 'GO:0044248', 'GO:0072521', 'GO:1901576', 'GO:0009135', 'GO:0055086', 'GO:0044283', 'GO:0003824', 'GO:0006139', 'GO:0009145', 'GO:0006733', 'GO:0005575', 'GO:0044270', 'GO:0009260', 'GO:0071704', 'GO:0019359', 'GO:0044249', 'GO:0009124', 'GO:0006757', 'GO:0016310', 'GO:0009123', 'GO:0009167', 'GO:0009056', 'GO:0009206', 'GO:0033554', 'GO:0019362', 'GO:0046394', 'GO:0072525', 'GO:0006725', 'GO:0006090', 'GO:0046031', 'GO:0009165', 'GO:0017144', 'GO:0016861', 'GO:1901566', 'GO:0005975', 'GO:0009152', 'GO:0043436', 'GO:0016053', 'GO:0009127', 'GO:0016860', 'GO:0009168', 'GO:0034599', 'GO:0009126', 'GO:0009201', 'GO:0006793', 'GO:0051186', 'GO:0019438', 'GO:0005488', 'GO:0006979', 'GO:0072330', 'GO:0009141', 'GO:1901361', 'GO:0016853', 'GO:0009142', 'GO:0072522', 'GO:0008150', 'GO:0006753', 'GO:0005622', 'GO:1901292', 'GO:0006807', 'GO:0046700', 'GO:0006094', 'GO:1901362', 'GO:0009132', 'GO:0050896', 'GO:0046496', 'GO:0042221', 'GO:0051188', 'GO:0005829', 'GO:0032787', 'GO:0034641', 'GO:1901135', 'GO:0090407', 'GO:0005623', 'GO:0009156', 'GO:0006950', 'GO:0009259', 'GO:0009166', 'GO:1901575', 'GO:0006082', 'GO:0006164', 'GO:0009185', 'GO:0044281', 'GO:0044237', 'GO:1901137', 'GO:0042866']
EQU24_RS00590		hypothetical protein	['GO:0016021']
EQU24_RS00595		multicopper oxidase	['GO:0016021']
EQU24_RS00600		DedA family protein	['GO:0005623', 'GO:0071944', 'GO:0016020', 'GO:0044464', 'GO:0005886', 'GO:0005575', 'GO:0016021']
EQU24_RS00605		hypothetical protein	['GO:0016021']
EQU24_RS00610		YceI family protein	[]
EQU24_RS00615		hypothetical protein	['GO:0000166', 'GO:0006468', 'GO:0004673', 'GO:0016020', 'GO:0007165']
EQU24_RS00620	msbA	lipid A export permease/ATP-binding protein MsbA	['GO:0006810', 'GO:0000166', 'GO:0015399', 'GO:0005215', 'GO:0051179', 'GO:0034204', 'GO:0005319', 'GO:0015893', 'GO:0042623', 'GO:0008144', 'GO:1901505', 'GO:0015221', 'GO:0009987', 'GO:0044459', 'GO:0005886', 'GO:0022804', 'GO:0043167', 'GO:0005887', 'GO:0008559', 'GO:0016020', 'GO:0033036', 'GO:0005524', 'GO:0044464', 'GO:0015238', 'GO:0071840', 'GO:0022857', 'GO:0016021', 'GO:0042626', 'GO:0010876', 'GO:0097159', 'GO:0097035', 'GO:0005488', 'GO:0042908', 'GO:0098797', 'GO:0035639', 'GO:0005515', 'GO:0016817', 'GO:0043492', 'GO:1901363', 'GO:0016818', 'GO:0031226', 'GO:0016462', 'GO:0008150', 'GO:0032559', 'GO:0032991', 'GO:0003674', 'GO:0006855', 'GO:0006869', 'GO:1902495', 'GO:0043168', 'GO:0044425', 'GO:0042493', 'GO:0050896', 'GO:0042802', 'GO:0015405', 'GO:0015920', 'GO:0065007', 'GO:0065008', 'GO:0022884', 'GO:0042221', 'GO:0043190', 'GO:0008289', 'GO:0017111', 'GO:0061024', 'GO:0015437', 'GO:1901264', 'GO:0016787', 'GO:0005623', 'GO:0098796', 'GO:0071702', 'GO:0016887', 'GO:0071944', 'GO:1902494', 'GO:0032553', 'GO:0034040', 'GO:0036094', 'GO:0042910', 'GO:0030554', 'GO:1904949', 'GO:0003824', 'GO:0031224', 'GO:0055085', 'GO:0051234', 'GO:0098533', 'GO:0005575', 'GO:1901265', 'GO:0032555', 'GO:0017076', 'GO:1990351', 'GO:0016043', 'GO:0097367']
EQU24_RS00625			[]
EQU24_RS00630			[]
EQU24_RS00635			[]
EQU24_RS00640			[]
EQU24_RS00645			[]
EQU24_RS00650		ABC transporter permease	['GO:0043190']
EQU24_RS00655		ATP-binding cassette domain-containing protein	['GO:0005524', 'GO:0016887']
EQU24_RS00660		MCE family protein	['GO:0016021']
EQU24_RS00665		hypothetical protein	[]
EQU24_RS00670		hypothetical protein	[]
